lat,lon,name,site_no
40.18,-120.607,ANTELOPE LAKE,ANT
37.367,-120.217,BEAR,BAR
39.897,-121.202,BUCKS LAKE STORAGE,BCL
38.513,-122.104,BERRYESSA,BER
38.805,-120.62,BRUSH CREEK (SMUD),BHC
39.001,-120.25,BUCK ISLAND LAKE,BIL
39.808,-122.329,BLACK BUTTE,BLB
39.383,-120.1,BOCA RESERVOIR,BOC
40.187,-121.186,BUTT VALLEY,BTV
37.213,-119.97,BUCHANAN DAM,BUC
39.393,-121.14,NEW BULLARDS BAR,BUL
34.517,-118.6,CASTAIC,CAS
39.05,-121.317,BEAR RIVER AT CAMP FAR WEST DAM,CFW
39.197,-123.186,COYOTE (LAKE MENDOCINO),COY
37.072,-118.967,COURTRIGHT (PG&E),CTG
37.492,-121.818,CALAVERAS,CVE
39.883,-120.467,LAKE DAVIS (DWR),DAV
39.333,-120.25,DONNER LAKE (DWR),DNN
39.239,-121.267,ENGLEBRIGHT (USACE),ENG
37.585,-120.27,NEW EXCHEQUER-LK MCCLURE,EXC
38.683,-121.183,FOLSOM LAKE,FOL
37.2,-119.917,HIDDEN DAM (HENSLEY),HID
37.95,-119.783,HETCH HETCHY,HTH
38.824,-120.359,ICE HOUSE (SMUD),ICH
40.601,-122.443,KESWICK RESERVOIR,KES
40.727,-122.793,LEWISTON,LEW
39.724,-121.019,LITTLE GRASS VALLEY,LGV
39.3,-120.583,LAKE VALLEY RESERVOIR,LVY
38.094,-120.166,LYONS RESERVOIR,LYS
37.292,-120.147,MARIPOSA CREEK DAM,MAR
37.001,-119.705,FRIANT DAM (MILLERTON),MIL
38.65,-121.183,LAKE NATOMA (NIMBUS DAM),NAT
37.948,-120.525,NEW MELONES RESERVOIR,NML
39.54,-121.493,OROVILLE DAM,ORO
39.3794,-120.1367,PROSSER CREEK RESERVOIR,PRS
34.633,-118.75,PYRAMID,PYM
38.967,-120.217,RUBICON LAKE,RBL
38.267,-119.733,RELIEF,RLF
40.367,-123.433,RUTH DAM,RTD
37.573,-121.848,SAN ANTONIO RESERVOIR,SAT
36.061,-118.922,SUCCESS DAM,SCC
39.408,-122.958,SCOTT DAM,SCD
40.718,-122.42,SHASTA DAM (USBR),SHA
38.767,-120.683,SLAB CREEK,SLB
39.584,-121.116,SLY CREEK,SLC
37.033,-121.133,SAN LUIS RESERVOIR,SNL
40.629,-122.474,SPRING CREEK DEBRIS DAM,SPC
38.2,-119.983,STRAWBERRY,SWB
36.415,-119.002,TERMINUS DAM,TRM
37.875,-120.603,TULLOCH,TUL
40.598,-122.537,WHISKEYTOWN DAM (USBR),WHI
38.723,-123.01,WARM SPRINGS (USACE),WRS
37.005,-118.969,WISHON,WSN
