,name,state,code,upstream1,upstream2,upstream3,downstream1,downstream2,downstream3
0,Hungry Horse,MT,HGH,NA,NA,NA,12362500,12363000,NA
1,Grand Coulee,WA,GCL,NA,NA,NA,NA,NA,NA
2,Rimrock Lake,WA,RIM,NA,NA,NA,12493005,NA,NA
3,Keechelus Reservoir,WA,KEE,12473980,NA,NA,NA,NA,NA
4,Kachess Reservoir,WA,KAC,NA,NA,NA,NA,NA,NA
5,Cle Elum Reservoir,WA,CLE,12509060,NA,NA,12510500,NA,NA
6,Bumping Lake,WA,BUM,NA,NA,NA,NA,NA,NA
7,Prosser Reservoir,WA,PRO,NA,NA,NA,NA,NA,NA
8,McKay Reservoir,OR,MCK,NA,NA,NA,NA,NA,NA
9,American Falls Reservoir,ID,AMF,13077000,NA,NA,13069500,13060000,NA
10,Anderson Ranch Dam,ID,AND,13186000,NA,NA,13190500,13192200,NA
11,Arrowrock Dam,ID,ARK,13185000,13192200,NA,NA,NA,NA
12,Lucky Peak Reservoir,ID,LUC,13200000,NA,NA,13203510,13203760,13206000
13,Crane Praire Reservoir,OR,CRA,NA,NA,NA,NA,NA,NA
14,Crescent Lake,OR,CRE,NA,NA,NA,NA,NA,NA
15,Cascade Reservoir,ID,CSC,13239000,NA,NA,13245000,13246000,13238000
16,Deadwood Dam,ID,DED,NA,NA,NA,NA,NA,NA
17,Elwah Dam,WA,ELD,NA,NA,NA,NA,NA,NA
18,Emigrant Lake,OR,EMI,NA,NA,NA,NA,NA,NA
19,Black Canyon Dam,ID,EMM,13238000,13246000,NA,13249500,13251000,NA
20,Glines Canyon Dam,WA,GLI,NA,NA,NA,NA,NA,NA
21,Island Park,ID,ISL,NA,NA,NA,NA,NA,NA
22,Jackson Lake,WY,JCK,13010065,NA,NA,13013650,NA,NA
23,Milner Lake,ID,MIL,13081500,NA,NA,13087995,NA,NA
24,Lake Walcott,ID,MIN,13077000,NA,NA,13081500,NA,NA
25,Ochoco Reservoir,OR,OCH,NA,NA,NA,NA,NA,NA
26,Lake Owyhee,OR,OWY,NA,NA,NA,NA,NA,NA
27,Palisades Reservoir,ID,PAL,13027500,NA,NA,13022500,13013650,NA
28,Payette Lake,ID,PAY,NA,NA,NA,13239000,NA,NA
29,Phillips Lake,OR,PHL,NA,NA,NA,NA,NA,NA
30,Potholes Reservoir,WA,POT,NA,NA,NA,NA,NA,NA
31,Ririe Lake,ID,RIR,NA,NA,NA,NA,NA,NA
32,Scoggins Dam,OR,SCO,NA,NA,NA,14202980,NA,NA
33,Soliders Meadow Reservoir,ID,SOL,NA,NA,NA,NA,NA,NA
34,Thief Valley Dam,OR,THF,NA,NA,NA,NA,NA,NA
35,Thompson Reservoir,OR,THM,NA,NA,NA,NA,NA,NA
36,Warm Springs Reservoir,OR,WAR,NA,NA,NA,NA,NA,NA
37,Wickiup Reservoir,OR,WIC,NA,NA,NA,NA,NA,NA
38,Wildhorse Reservoir,NV,WLD,NA,NA,NA,NA,NA,NA
